t x y
13.17 4.12406 1.58795
13.18 4.12705 1.61277
13.19 4.13004 1.63759
13.2 4.13303 1.66241
13.21 4.13602 1.68723
13.22 4.13901 1.71205
13.23 4.142 1.73687
13.24 4.14499 1.76169
13.25 4.14798 1.78651
13.26 4.15097 1.81133
13.27 4.15396 1.83615
13.28 4.15695 1.86097
13.29 4.15994 1.8858
13.3 4.16293 1.91062
13.31 4.16592 1.93544
13.32 4.16891 1.96026
13.33 4.1719 1.98508
13.34 4.17489 2.0099
13.35 4.17788 2.03472
13.36 4.18087 2.05954
13.37 4.18386 2.08436
13.38 4.18685 2.10918
13.39 4.18985 2.134
13.4 4.19284 2.15882
13.41 4.19583 2.18364
13.42 4.19882 2.20846
13.43 4.20181 2.23328
13.44 4.2048 2.2581
13.45 4.20779 2.28292
13.46 4.21078 2.30774
13.47 4.21377 2.33256
13.48 4.21676 2.35738
13.49 4.21975 2.38221
13.5 4.22274 2.40703
13.51 4.22573 2.43185
13.52 4.22872 2.45667
13.53 4.23171 2.48149
13.54 4.2347 2.50631
13.55 4.23769 2.53113
13.56 4.24068 2.55595
13.57 4.24367 2.58077
13.58 4.24666 2.60559
13.59 4.24965 2.63041
13.6 4.25264 2.65523
13.61 4.25563 2.68005
13.62 4.25862 2.70487
13.63 4.26161 2.72969
13.64 4.2646 2.75451
13.65 4.2676 2.77933
13.66 4.27059 2.80415
13.67 4.27358 2.82897
13.68 4.27657 2.8538
13.69 4.27956 2.87862
13.7 4.28255 2.90344
13.71 4.28554 2.92826
13.72 4.28853 2.95308
13.73 4.29152 2.9779
13.74 4.29451 3.00272
13.75 4.2975 3.02754
13.76 4.30049 3.05236
13.77 4.30348 3.07718
13.78 4.30647 3.102
13.79 4.30946 3.12682
13.8 4.31245 3.15164
13.81 4.31544 3.17646
13.82 4.31843 3.20128
13.83 4.32142 3.2261
13.84 4.32441 3.25092
13.85 4.3274 3.27574
13.86 4.33039 3.30056
13.87 4.33338 3.32538
13.88 4.33637 3.35021
13.89 4.33936 3.37503
13.9 4.34235 3.39985
13.91 4.34535 3.42467
13.92 4.34834 3.44949
13.93 4.35133 3.47431
13.94 4.35432 3.49913
13.95 4.35731 3.52395
13.96 4.3603 3.54877
13.97 4.36329 3.57359
13.98 4.36628 3.59841
13.99 4.36927 3.62323
14 4.37226 3.64805
14.01 4.37525 3.67287
14.02 4.37824 3.69769
14.03 4.38123 3.72251
14.04 4.38422 3.74733
14.05 4.38721 3.77215
14.06 4.3902 3.79697
14.07 4.39319 3.82179
14.08 4.39618 3.84662
14.09 4.39917 3.87144
14.1 4.40216 3.89626
14.11 4.40515 3.92108
14.12 4.40814 3.9459
14.13 4.41113 3.97072
14.14 4.41412 3.99554
14.15 4.41711 4.02036
14.16 4.4201 4.04518
14.17 4.4231 4.07
14.18 4.42609 4.09482
14.19 4.42908 4.11964
14.2 4.43207 4.14446
14.21 4.43506 4.16928
14.22 4.43805 4.1941
14.23 4.44104 4.21892
14.24 4.44403 4.24374
14.25 4.44702 4.26856
14.26 4.45001 4.29338
14.27 4.453 4.31821
14.28 4.45599 4.34303
14.29 4.45898 4.36785
14.3 4.46197 4.39267
14.31 4.46496 4.41749
14.32 4.46795 4.44231
14.33 4.47094 4.46713
14.34 4.47393 4.49195
14.35 4.47692 4.51677
14.36 4.47991 4.54159
14.37 4.4829 4.56641
14.38 4.48589 4.59123
14.39 4.48888 4.61605
14.4 4.49187 4.64087
14.41 4.49486 4.66569
14.42 4.49785 4.69051
14.43 4.50084 4.71533
14.44 4.50384 4.74015
14.45 4.50683 4.76497
14.46 4.50982 4.78979
14.47 4.51281 4.81462
14.48 4.5158 4.83944
14.49 4.51879 4.86426
14.5 4.52178 4.88908
14.51 4.52477 4.9139
14.52 4.52776 4.93872
14.53 4.53075 4.96354
14.54 4.53374 4.98836
14.55 4.53673 5.01318
14.56 4.53972 5.038
14.57 4.54271 5.06282
14.58 4.5457 5.08764
14.59 4.54869 5.11246
14.6 4.55168 5.13728
14.61 4.55467 5.1621
14.62 4.55766 5.18692
14.63 4.56065 5.21174
14.64 4.56364 5.23656
14.65 4.56663 5.26138
14.66 4.56962 5.2862
14.67 4.57261 5.31103
14.68 4.5756 5.33585
14.69 4.57859 5.36067
14.7 4.58159 5.38549
14.71 4.58458 5.41031
14.72 4.58757 5.43513
14.73 4.59056 5.45995
14.74 4.59355 5.48477
14.75 4.59654 5.50959
14.76 4.59953 5.53441
14.77 4.60252 5.55923
14.78 4.60551 5.58405
14.79 4.6085 5.60887
14.8 4.61149 5.63369
14.81 4.61448 5.65851
14.82 4.61747 5.68333
14.83 4.62046 5.70815
14.84 4.62345 5.73297
14.85 4.62644 5.75779
14.86 4.62943 5.78262
14.87 4.63242 5.80744
14.88 4.63541 5.83226
14.89 4.6384 5.85708
14.9 4.64139 5.8819
14.91 4.64438 5.90672
14.92 4.64737 5.93154
14.93 4.65036 5.95636
14.94 4.65335 5.98118
14.95 4.65634 6.006
14.96 4.65934 6.03082
14.97 4.66233 6.05564
14.98 4.66532 6.08046
14.99 4.66831 6.10528
15 4.6713 6.1301
15.01 4.67429 6.15492
15.02 4.67728 6.17974
15.03 4.68027 6.20456
15.04 4.68326 6.22938
15.05 4.68625 6.2542
15.06 4.68924 6.27903
15.07 4.69223 6.30385
15.08 4.69522 6.32867
15.09 4.69821 6.35349
15.1 4.7012 6.37831
15.11 4.70419 6.40313
15.12 4.70718 6.42795
15.13 4.71017 6.45277
15.14 4.71316 6.47759
15.15 4.71615 6.50241
15.16 4.71914 6.52723
15.17 4.72213 6.55205
15.18 4.72512 6.57687
15.19 4.72811 6.60169
15.2 4.7311 6.62651
15.21 4.73409 6.65133
15.22 4.73709 6.67615
15.23 4.74008 6.70097
15.24 4.74307 6.72579
15.25 4.74606 6.75061
15.26 4.74905 6.77544
15.27 4.75204 6.80026
15.28 4.75503 6.82508
15.29 4.75802 6.8499
15.3 4.76101 6.87472
15.31 4.764 6.89954
15.32 4.76699 6.92436
15.33 4.76998 6.94918
15.34 4.77297 6.974
15.35 4.77596 6.99882
15.36 4.77895 7.02364
15.37 4.78194 7.04846
15.38 4.78493 7.07328
15.39 4.78792 7.0981
15.4 4.79091 7.12292
15.41 4.7939 7.14774
15.42 4.79689 7.17256
15.43 4.79988 7.19738
15.44 4.80287 7.2222
15.45 4.80586 7.24703
15.46 4.80885 7.27185
15.47 4.81184 7.29667
15.48 4.81483 7.32149
15.49 4.81783 7.34631
15.5 4.82082 7.37113
15.51 4.82381 7.39595
15.52 4.8268 7.42077
15.53 4.82979 7.44559
15.54 4.83278 7.47041
15.55 4.83577 7.49523
15.56 4.83876 7.52005
15.57 4.84175 7.54487
15.58 4.84474 7.56969
15.59 4.84773 7.59451
15.6 4.85072 7.61933
15.61 4.85371 7.64415
15.62 4.8567 7.66897
15.63 4.85969 7.69379
15.64 4.86268 7.71861
15.65 4.86567 7.74344
15.66 4.86866 7.76826
15.67 4.87165 7.79308
15.68 4.87464 7.8179
15.69 4.87763 7.84272
15.7 4.88062 7.86754
15.71 4.88361 7.89236
15.72 4.8866 7.91718
15.73 4.88959 7.942
15.74 4.89258 7.96682
15.75 4.89558 7.99164
15.76 4.89857 8.01646
15.77 4.90156 8.04128
15.78 4.90455 8.0661
15.79 4.90754 8.09092
15.8 4.91053 8.11574
15.81 4.91352 8.14056
15.82 4.91651 8.16538
15.83 4.9195 8.1902
15.84 4.92249 8.21502
15.85 4.92548 8.23985
15.86 4.92847 8.26467
15.87 4.93146 8.28949
15.88 4.93445 8.31431
15.89 4.93744 8.33913
15.9 4.94043 8.36395
15.91 4.94342 8.38877
15.92 4.94641 8.41359
15.93 4.9494 8.43841
15.94 4.95239 8.46323
15.95 4.95538 8.48805
15.96 4.95837 8.51287
15.97 4.96136 8.53769
15.98 4.96435 8.56251
15.99 4.96734 8.58733
16 4.97033 8.61215
16.01 4.99033 8.62715
16.02 5.01033 8.64215
16.03 5.03033 8.65715
16.04 5.00734 8.64733
16.05 4.98435 8.63751
16.06 4.98734 8.61269
16.07 4.99033 8.58787
16.08 4.99333 8.56305
16.09 4.99632 8.53823
16.1 4.99931 8.51341
16.11 5.0023 8.48859
16.12 5.00529 8.46377
16.13 5.00828 8.43895
16.14 5.01127 8.41413
16.15 5.01426 8.38931
16.16 5.01725 8.36449
16.17 5.02024 8.33967
16.18 5.02323 8.31485
16.19 5.02622 8.29002
16.2 5.02921 8.2652
16.21 5.0322 8.24038
16.22 5.03519 8.21556
16.23 5.03818 8.19074
16.24 5.04117 8.16592
16.25 5.04416 8.1411
16.26 5.04715 8.11628
16.27 5.05014 8.09146
16.28 5.05313 8.06664
16.29 5.05612 8.04182
16.3 5.05911 8.017
16.31 5.0621 7.99218
16.32 5.06509 7.96736
16.33 5.06808 7.94254
16.34 5.07108 7.91772
16.35 5.07407 7.8929
16.36 5.07706 7.86808
16.37 5.08005 7.84326
16.38 5.08304 7.81844
16.39 5.08603 7.79361
16.4 5.08902 7.76879
16.41 5.09201 7.74397
16.42 5.095 7.71915
16.43 5.09799 7.69433
16.44 5.10098 7.66951
16.45 5.10397 7.64469
16.46 5.10696 7.61987
16.47 5.10995 7.59505
16.48 5.11294 7.57023
16.49 5.11593 7.54541
16.5 5.11892 7.52059
16.51 5.12191 7.49577
16.52 5.1249 7.47095
16.53 5.12789 7.44613
16.54 5.13088 7.42131
16.55 5.13387 7.39649
16.56 5.13686 7.37167
16.57 5.13985 7.34685
16.58 5.14284 7.32203
16.59 5.14583 7.2972
16.6 5.14883 7.27238
16.61 5.15182 7.24756
16.62 5.15481 7.22274
16.63 5.1578 7.19792
16.64 5.16079 7.1731
16.65 5.16378 7.14828
16.66 5.16677 7.12346
16.67 5.16976 7.09864
16.68 5.17275 7.07382
16.69 5.17574 7.049
16.7 5.17873 7.02418
16.71 5.18172 6.99936
16.72 5.18471 6.97454
16.73 5.1877 6.94972
16.74 5.19069 6.9249
16.75 5.19368 6.90008
16.76 5.19667 6.87526
16.77 5.19966 6.85044
16.78 5.20265 6.82561
16.79 5.20564 6.80079
16.8 5.20863 6.77597
16.81 5.21162 6.75115
16.82 5.21461 6.72633
16.83 5.2176 6.70151
16.84 5.22059 6.67669
16.85 5.22358 6.65187
16.86 5.22657 6.62705
16.87 5.22957 6.60223
16.88 5.23256 6.57741
16.89 5.23555 6.55259
16.9 5.23854 6.52777
16.91 5.24153 6.50295
16.92 5.24452 6.47813
16.93 5.24751 6.45331
16.94 5.2505 6.42849
16.95 5.25349 6.40367
16.96 5.25648 6.37885
16.97 5.25947 6.35403
16.98 5.26246 6.3292
16.99 5.26545 6.30438
17 5.26844 6.27956
17.01 5.27143 6.25474
17.02 5.27442 6.22992
17.03 5.27741 6.2051
17.04 5.2804 6.18028
17.05 5.28339 6.15546
17.06 5.28638 6.13064
17.07 5.28937 6.10582
17.08 5.29236 6.081
17.09 5.29535 6.05618
17.1 5.29834 6.03136
17.11 5.30133 6.00654
17.12 5.30432 5.98172
17.13 5.30732 5.9569
17.14 5.31031 5.93208
17.15 5.3133 5.90726
17.16 5.31629 5.88244
17.17 5.31928 5.85762
17.18 5.32227 5.83279
17.19 5.32526 5.80797
17.2 5.32825 5.78315
17.21 5.33124 5.75833
17.22 5.33423 5.73351
17.23 5.33722 5.70869
17.24 5.34021 5.68387
17.25 5.3432 5.65905
17.26 5.34619 5.63423
17.27 5.34918 5.60941
17.28 5.35217 5.58459
17.29 5.35516 5.55977
17.3 5.35815 5.53495
17.31 5.36114 5.51013
17.32 5.36413 5.48531
17.33 5.36712 5.46049
17.34 5.37011 5.43567
17.35 5.3731 5.41085
17.36 5.37609 5.38603
17.37 5.37908 5.3612
17.38 5.38207 5.33638
17.39 5.38507 5.31156
17.4 5.38806 5.28674
17.41 5.39105 5.26192
17.42 5.39404 5.2371
17.43 5.39703 5.21228
17.44 5.40002 5.18746
17.45 5.40301 5.16264
17.46 5.406 5.13782
17.47 5.40899 5.113
17.48 5.41198 5.08818
17.49 5.41497 5.06336
17.5 5.41796 5.03854
17.51 5.42095 5.01372
17.52 5.42394 4.9889
17.53 5.42693 4.96408
17.54 5.42992 4.93926
17.55 5.43291 4.91444
17.56 5.4359 4.88962
17.57 5.43889 4.86479
17.58 5.44188 4.83997
17.59 5.44487 4.81515
17.6 5.44786 4.79033
17.61 5.45085 4.76551
17.62 5.45384 4.74069
17.63 5.45683 4.71587
17.64 5.45982 4.69105
17.65 5.46282 4.66623
17.66 5.46581 4.64141
17.67 5.4688 4.61659
17.68 5.47179 4.59177
17.69 5.47478 4.56695
17.7 5.47777 4.54213
17.71 5.48076 4.51731
17.72 5.48375 4.49249
17.73 5.48674 4.46767
17.74 5.48973 4.44285
17.75 5.49272 4.41803
17.76 5.49571 4.39321
17.77 5.4987 4.36838
17.78 5.50169 4.34356
17.79 5.50468 4.31874
17.8 5.50767 4.29392
17.81 5.51066 4.2691
17.82 5.51365 4.24428
17.83 5.51664 4.21946
17.84 5.51963 4.19464
17.85 5.52262 4.16982
17.86 5.52561 4.145
17.87 5.5286 4.12018
17.88 5.53159 4.09536
17.89 5.53458 4.07054
17.9 5.53757 4.04572
17.91 5.54056 4.0209
17.92 5.54356 3.99608
17.93 5.54655 3.97126
17.94 5.54954 3.94644
17.95 5.55253 3.92162
17.96 5.55552 3.89679
17.97 5.55851 3.87197
17.98 5.5615 3.84715
17.99 5.56449 3.82233
18 5.56748 3.79751
18.01 5.57047 3.77269
18.02 5.57346 3.74787
18.03 5.57645 3.72305
18.04 5.57944 3.69823
18.05 5.58243 3.67341
18.06 5.58542 3.64859
18.07 5.58841 3.62377
18.08 5.5914 3.59895
18.09 5.59439 3.57413
18.1 5.59738 3.54931
18.11 5.60037 3.52449
18.12 5.60336 3.49967
18.13 5.60635 3.47485
18.14 5.60934 3.45003
18.15 5.61233 3.42521
18.16 5.61532 3.40038
18.17 5.61831 3.37556
18.18 5.62131 3.35074
18.19 5.6243 3.32592
18.2 5.62729 3.3011
18.21 5.63028 3.27628
18.22 5.63327 3.25146
18.23 5.63626 3.22664
18.24 5.63925 3.20182
18.25 5.64224 3.177
18.26 5.64523 3.15218
18.27 5.64822 3.12736
18.28 5.65121 3.10254
18.29 5.6542 3.07772
18.3 5.65719 3.0529
18.31 5.66018 3.02808
18.32 5.66317 3.00326
18.33 5.66616 2.97844
18.34 5.66915 2.95362
18.35 5.67214 2.9288
18.36 5.67513 2.90397
18.37 5.67812 2.87915
18.38 5.68111 2.85433
18.39 5.6841 2.82951
18.4 5.68709 2.80469
18.41 5.69008 2.77987
18.42 5.69307 2.75505
18.43 5.69606 2.73023
18.44 5.69906 2.70541
18.45 5.70205 2.68059
18.46 5.70504 2.65577
18.47 5.70803 2.63095
18.48 5.71102 2.60613
18.49 5.71401 2.58131
18.5 5.717 2.55649
18.51 5.71999 2.53167
18.52 5.72298 2.50685
18.53 5.72597 2.48203
18.54 5.72896 2.45721
18.55 5.73195 2.43238
18.56 5.73494 2.40756
18.57 5.73793 2.38274
18.58 5.74092 2.35792
18.59 5.74391 2.3331
18.6 5.7469 2.30828
18.61 5.74989 2.28346
18.62 5.75288 2.25864
18.63 5.75587 2.23382
18.64 5.75886 2.209
18.65 5.76185 2.18418
18.66 5.76484 2.15936
18.67 5.76783 2.13454
18.68 5.77082 2.10972
18.69 5.77381 2.0849
18.7 5.77681 2.06008
18.71 5.7798 2.03526
18.72 5.78279 2.01044
18.73 5.78578 1.98562
18.74 5.78877 1.9608
18.75 5.79176 1.93597
18.76 5.79475 1.91115
18.77 5.79774 1.88633
18.78 5.80073 1.86151
18.79 5.80372 1.83669
18.8 5.80671 1.81187
18.81 5.8097 1.78705
18.82 5.81269 1.76223
18.83 5.81568 1.73741
18.84 5.81867 1.71259
18.85 5.82166 1.68777
18.86 5.82465 1.66295
18.87 5.82764 1.63813
18.88 5.83063 1.61331
18.89 5.83362 1.58849
18.9 5.83661 1.56367
18.91 5.8396 1.53885
18.92 5.84259 1.51403
18.93 5.84558 1.48921
18.94 5.84857 1.46439
18.95 5.85156 1.43956
18.96 5.85455 1.41474
18.97 5.85755 1.38992
18.98 5.86054 1.3651
18.99 5.86353 1.34028
19 5.86652 1.31546
19.01 5.86951 1.29064
19.02 5.8725 1.26582
19.03 5.87549 1.241
19.04 5.87848 1.21618
19.05 5.88147 1.19136
19.06 5.88446 1.16654
19.07 5.88745 1.14172
19.08 5.89044 1.1169
19.09 5.89343 1.09208
19.1 5.89642 1.06726
19.11 5.89941 1.04244
19.12 5.9024 1.01762
19.13 5.90539 0.992795
19.14 5.90838 0.967975
19.15 5.91137 0.943154
19.16 5.91436 0.918334
19.17 5.91735 0.893513
19.18 5.92034 0.868693
19.19 5.92333 0.843872
19.2 5.92632 0.819052
19.21 5.92931 0.794231
19.22 5.9323 0.769411
19.23 5.9353 0.74459
19.24 5.93829 0.71977
19.25 5.94128 0.694949
19.26 5.94427 0.670129
19.27 5.94726 0.645308
19.28 5.95025 0.620488
19.29 5.95324 0.595667
19.3 5.95623 0.570847
19.31 5.95922 0.546026
19.32 5.96221 0.521206
19.33 5.9652 0.496385
19.34 5.96819 0.471565
19.35 5.97118 0.446744
19.36 5.97417 0.421924
19.37 5.97716 0.397103
19.38 5.98015 0.372283
19.39 5.98314 0.347462
19.4 5.98613 0.322642
19.41 5.98912 0.297821
19.42 5.99211 0.273001
19.43 5.9951 0.24818
19.44 5.99809 0.22336
19.45 6.00108 0.198539
19.46 6.00407 0.173719
19.47 6.00706 0.148898
19.48 6.01005 0.124078
19.49 6.01305 0.0992572
19.5 6.01604 0.0744367
19.51 6.01903 0.0496162
19.52 6.02202 0.0247957
19.53 6.02501 2.48486e-05
19.54 6.028 0.0248454
19.55 6.03099 0.0496659
19.56 6.03398 0.0744864
19.57 6.03697 0.0993069
19.58 6.03996 0.124127
19.59 6.04295 0.148948
19.6 6.04594 0.173768
19.61 6.04893 0.198589
19.62 6.05192 0.223409
19.63 6.05491 0.24823
19.64 6.0579 0.27305
19.65 6.06089 0.297871
19.66 6.06388 0.322691
19.67 6.06687 0.347512
19.68 6.06986 0.372332
19.69 6.07285 0.397153
19.7 6.07584 0.421973
19.71 6.07883 0.446794
19.72 6.08182 0.471615
19.73 6.08481 0.496435
19.74 6.0878 0.521256
19.75 6.0908 0.546076
19.76 6.09379 0.570897
19.77 6.09678 0.595717
19.78 6.09977 0.620538
19.79 6.10276 0.645358
19.8 6.10575 0.670179
19.81 6.10874 0.694999
19.82 6.11173 0.71982
19.83 6.11472 0.74464
19.84 6.11771 0.769461
19.85 6.1207 0.794281
19.86 6.12369 0.819102
19.87 6.12668 0.843922
19.88 6.12967 0.868743
19.89 6.13266 0.893563
19.9 6.13565 0.918384
19.91 6.13864 0.943204
19.92 6.14163 0.968025
19.93 6.14462 0.992845
19.94 6.14761 1.01767
19.95 6.1506 1.04249
19.96 6.15359 1.06731
19.97 6.15658 1.09213
19.98 6.15957 1.11695
19.99 6.16256 1.14177
20 6.16555 1.16659
