t x y z
1.47 6.4956 11.4726 4.92039
1.48 6.65292 11.5199 4.88126
1.49 6.81186 11.5652 4.84116
1.5 6.97239 11.6084 4.80008
1.51 7.13447 11.6496 4.75801
1.52 7.2981 11.6888 4.71497
1.53 7.46324 11.7258 4.67094
1.54 7.62986 11.7607 4.62593
1.55 7.79795 11.7935 4.57994
1.56 7.96747 11.824 4.53297
1.57 8.1384 11.8524 4.48502
1.58 8.31071 11.8785 4.43609
1.59 8.48437 11.9024 4.38618
1.6 8.65936 11.9239 4.33528
1.61 8.83564 11.9432 4.28341
1.62 9.0132 11.9601 4.23055
1.63 9.19199 11.9747 4.17671
1.64 9.372 11.9869 4.1219
1.65 9.55319 11.9967 4.0661
1.66 9.73553 12.0041 4.00932
1.67 9.91899 12.0091 3.95156
1.68 10.1035 12.0115 3.89281
1.69 10.2891 12.0115 3.83309
1.7 10.4758 12.009 3.77239
1.71 10.6634 12.0039 3.7107
1.72 10.852 11.9963 3.64804
1.73 11.0416 11.9861 3.58439
1.74 11.232 11.9733 3.51976
1.75 11.4233 11.9579 3.45415
1.76 11.6154 11.9399 3.38756
1.77 11.8084 11.9192 3.31999
1.78 12.0021 11.8959 3.25144
1.79 12.1965 11.8699 3.18191
1.8 12.3916 11.8411 3.11139
1.81 12.5874 11.8097 3.0399
1.82 12.7839 11.7755 2.96742
1.83 12.9809 11.7386 2.89397
1.84 13.1785 11.6989 2.81953
1.85 13.3766 11.6564 2.74411
1.86 13.5752 11.6111 2.66771
1.87 13.7742 11.563 2.59033
1.88 13.9737 11.5121 2.51197
1.89 14.1736 11.4584 2.43262
1.9 14.3737 11.4018 2.3523
1.91 14.5742 11.3423 2.27099
1.92 14.775 11.28 2.18871
1.93 14.976 11.2147 2.10544
1.94 15.1772 11.1466 2.02119
1.95 15.3785 11.0756 1.93596
1.96 15.58 11.0016 1.84975
1.97 15.7815 10.9247 1.76256
1.98 15.9831 10.8449 1.67439
1.99 16.1846 10.7622 1.58524
2 16.3862 10.6764 1.4951
2.01 16.5877 10.5877 1.40399
2.02 16.789 10.4961 1.31189
2.03 16.9902 10.4015 1.21882
2.04 17.1912 10.3038 1.12476
2.05 17.392 10.2032 1.02972
2.06 17.5925 10.0996 0.933699
2.07 17.7927 9.99303 0.836698
2.08 17.9925 9.88342 0.738716
2.09 18.1919 9.7708 0.639753
2.1 18.3909 9.65518 0.539809
2.11 18.5895 9.53653 0.438884
2.12 18.7875 9.41488 0.336978
2.13 18.9849 9.2902 0.234091
2.14 19.1818 9.1625 0.130223
2.15 19.378 9.03178 0.0253737
