t x v EK
1.36000 8.93600 -1.80000 1.62000
1.37000 8.91800 -1.80000 1.62000
1.38000 8.90000 -1.80000 1.62000
1.39000 8.88200 -1.80000 1.62000
1.40000 8.86400 -1.80000 1.62000
1.41000 8.84600 -1.80000 1.62000
1.42000 8.82800 -1.80000 1.62000
1.43000 8.81000 -1.80000 1.62000
1.44000 8.79200 -1.80000 1.62000
1.45000 8.77400 -1.80000 1.62000
1.46000 8.75600 -1.80000 1.62000
1.47000 8.73800 -1.80000 1.62000
1.48000 8.72000 -1.80000 1.62000
1.49000 8.70200 -1.80000 1.62000
1.50000 8.68400 -1.80000 1.62000
1.51000 8.66600 -1.80000 1.62000
1.52000 8.64800 -1.80000 1.62000
1.53000 8.63000 -1.80000 1.62000
1.54000 8.61200 -1.80000 1.62000
1.55000 8.59400 -1.80000 1.62000
1.56000 8.57600 -1.80000 1.62000
1.57000 8.55800 -1.80000 1.62000
1.58000 8.54000 -1.80000 1.62000
1.59000 8.52200 -1.80000 1.62000
1.60000 8.50400 -1.80000 1.62000
1.61000 8.48600 -1.80000 1.62000
1.62000 8.46800 -1.80000 1.62000
1.63000 8.45000 -1.80000 1.62000
1.64000 8.43200 -1.80000 1.62000
1.65000 8.41400 -1.80000 1.62000
1.66000 8.39600 -1.80000 1.62000
1.67000 8.37800 -1.80000 1.62000
1.68000 8.36000 -1.80000 1.62000
1.69000 8.34200 -1.80000 1.62000
1.70000 8.32400 -1.80000 1.62000
1.71000 8.30600 -1.80000 1.62000
1.72000 8.28800 -1.80000 1.62000
1.73000 8.27000 -1.80000 1.62000
1.74000 8.25200 -1.80000 1.62000
1.75000 8.23400 -1.80000 1.62000
1.76000 8.21600 -1.80000 1.62000
1.77000 8.19800 -1.80000 1.62000
1.78000 8.18000 -1.80000 1.62000
1.79000 8.16200 -1.80000 1.62000
1.80000 8.14400 -1.80000 1.62000
1.81000 8.12600 -1.80000 1.62000
1.82000 8.10800 -1.80000 1.62000
1.83000 8.09000 -1.80000 1.62000
1.84000 8.07200 -1.80000 1.62000
1.85000 8.05400 -1.80000 1.62000
1.86000 8.03600 -1.80000 1.62000
1.87000 8.01800 -1.80000 1.62000
1.88000 8.00000 -1.80000 1.62000
1.89000 7.98200 -1.80000 1.62000
1.90000 7.96400 -1.80000 1.62000
1.91000 7.94600 -1.80000 1.62000
1.92000 7.92800 -1.80000 1.62000
1.93000 7.91000 -1.80000 1.62000
1.94000 7.89200 -1.80000 1.62000
1.95000 7.87400 -1.80000 1.62000
1.96000 7.85600 -1.80000 1.62000
1.97000 7.83800 -1.80000 1.62000
1.98000 7.82000 -1.80000 1.62000
1.99000 7.80200 -1.80000 1.62000
2.00000 7.78400 -1.80000 1.62000
2.01000 7.76600 -1.80000 1.62000
2.02000 7.74800 -1.80000 1.62000
2.03000 7.73000 -1.80000 1.62000
2.04000 7.71200 -1.80000 1.62000
2.05000 7.69400 -1.80000 1.62000
2.06000 7.67600 -1.80000 1.62000
2.07000 7.65800 -1.80000 1.62000
2.08000 7.64000 -1.80000 1.62000
2.09000 7.62200 -1.80000 1.62000
2.10000 7.60400 -1.80000 1.62000
2.11000 7.58600 -1.80000 1.62000
2.12000 7.56800 -1.80000 1.62000
2.13000 7.55000 -1.80000 1.62000
2.14000 7.53200 -1.80000 1.62000
2.15000 7.51400 -1.80000 1.62000
2.16000 7.49600 -1.80000 1.62000
2.17000 7.47800 -1.80000 1.62000
2.18000 7.46000 -1.80000 1.62000
2.19000 7.44200 -1.80000 1.62000
2.20000 7.42400 -1.80000 1.62000
2.21000 7.40600 -1.80000 1.62000
2.22000 7.38800 -1.80000 1.62000
2.23000 7.37000 -1.80000 1.62000
2.24000 7.35200 -1.80000 1.62000
2.25000 7.33400 -1.80000 1.62000
2.26000 7.31600 -1.80000 1.62000
2.27000 7.29800 -1.80000 1.62000
2.28000 7.28000 -1.80000 1.62000
2.29000 7.26200 -1.80000 1.62000
2.30000 7.24400 -1.80000 1.62000
2.31000 7.22600 -1.80000 1.62000
2.32000 7.20800 -1.80000 1.62000
2.33000 7.19000 -1.80000 1.62000
2.34000 7.17200 -1.80000 1.62000
2.35000 7.15400 -1.80000 1.62000
2.36000 7.13600 -1.80000 1.62000
2.37000 7.11800 -1.80000 1.62000
2.38000 7.10000 -1.80000 1.62000
2.39000 7.08200 -1.80000 1.62000
2.40000 7.06400 -1.80000 1.62000
2.41000 7.04600 -1.80000 1.62000
2.42000 7.02800 -1.80000 1.62000
2.43000 7.01000 -1.80000 1.62000
2.44000 6.99200 -1.80000 1.62000
2.45000 6.97400 -1.80000 1.62000
2.46000 6.95600 -1.80000 1.62000
2.47000 6.93800 -1.80000 1.62000
2.48000 6.92000 -1.80000 1.62000
2.49000 6.90200 -1.80000 1.62000
2.50000 6.88400 -1.80000 1.62000
2.51000 6.86600 -1.80000 1.62000
2.52000 6.84800 -1.80000 1.62000
2.53000 6.83000 -1.80000 1.62000
2.54000 6.81200 -1.80000 1.62000
2.55000 6.79400 -1.80000 1.62000
2.56000 6.77600 -1.80000 1.62000
2.57000 6.75800 -1.80000 1.62000
2.58000 6.74000 -1.80000 1.62000
2.59000 6.72200 -1.80000 1.62000
2.60000 6.70400 -1.80000 1.62000
2.61000 6.68600 -1.80000 1.62000
2.62000 6.66800 -1.80000 1.62000
2.63000 6.65000 -1.80000 1.62000
2.64000 6.63200 -1.80000 1.62000
2.65000 6.61400 -1.80000 1.62000
2.66000 6.59600 -1.80000 1.62000
2.67000 6.57800 -1.80000 1.62000
2.68000 6.56000 -1.80000 1.62000
2.69000 6.54200 -1.80000 1.62000
2.70000 6.52400 -1.80000 1.62000
2.71000 6.50600 -1.80000 1.62000
2.72000 6.48800 -1.80000 1.62000
2.73000 6.47000 -1.80000 1.62000
2.74000 6.45200 -1.80000 1.62000
2.75000 6.43400 -1.80000 1.62000
2.76000 6.41600 -1.80000 1.62000
2.77000 6.39800 -1.80000 1.62000
2.78000 6.38000 -1.80000 1.62000
2.79000 6.36200 -1.80000 1.62000
2.80000 6.34400 -1.80000 1.62000
2.81000 6.32600 -1.80000 1.62000
2.82000 6.30800 -1.80000 1.62000
2.83000 6.29000 -1.80000 1.62000
2.84000 6.27200 -1.80000 1.62000
2.85000 6.25400 -1.80000 1.62000
2.86000 6.23600 -1.80000 1.62000
2.87000 6.21800 -1.80000 1.62000
2.88000 6.20000 -1.80000 1.62000
2.89000 6.18200 -1.80000 1.62000
2.90000 6.16400 -1.80000 1.62000
2.91000 6.14600 -1.80000 1.62000
2.92000 6.12800 -1.80000 1.62000
2.93000 6.11000 -1.80000 1.62000
2.94000 6.09200 -1.80000 1.62000
2.95000 6.07400 -1.80000 1.62000
2.96000 6.05600 -1.80000 1.62000
2.97000 6.03800 -1.80000 1.62000
2.98000 6.02000 -1.80000 1.62000
2.99000 6.00200 -1.80000 1.62000
3.00000 5.98400 -1.80000 1.62000
3.01000 5.96600 -1.80000 1.62000
3.02000 5.94800 -1.80000 1.62000
3.03000 5.93000 -1.80000 1.62000
3.04000 5.91200 -1.80000 1.62000
3.05000 5.89400 -1.80000 1.62000
3.06000 5.87600 -1.80000 1.62000
3.07000 5.85800 -1.80000 1.62000
3.08000 5.84000 -1.80000 1.62000
3.09000 5.82200 -1.80000 1.62000
3.10000 5.80400 -1.80000 1.62000
3.11000 5.78600 -1.80000 1.62000
3.12000 5.76800 -1.80000 1.62000
3.13000 5.75000 -1.80000 1.62000
3.14000 5.73200 -1.80000 1.62000
3.15000 5.71400 -1.80000 1.62000
3.16000 5.69600 -1.80000 1.62000
3.17000 5.67800 -1.80000 1.62000
3.18000 5.66000 -1.80000 1.62000
3.19000 5.64200 -1.80000 1.62000
3.20000 5.62400 -1.80000 1.62000
3.21000 5.60600 -1.80000 1.62000
3.22000 5.58800 -1.80000 1.62000
3.23000 5.57000 -1.80000 1.62000
3.24000 5.55200 -1.80000 1.62000
3.25000 5.53400 -1.80000 1.62000
3.26000 5.51600 -1.80000 1.62000
3.27000 5.49800 -1.80000 1.62000
3.28000 5.48000 -1.80000 1.62000
3.29000 5.46200 -1.80000 1.62000
3.30000 5.44400 -1.80000 1.62000
3.31000 5.42600 -1.80000 1.62000
3.32000 5.40800 -1.80000 1.62000
3.33000 5.39000 -1.80000 1.62000
3.34000 5.37200 -1.80000 1.62000
3.35000 5.35400 -1.80000 1.62000
3.36000 5.33600 -1.80000 1.62000
